"originalRUN","Akt","EGF","Erk","IGF","Mek","PI3K","Raf","Ras","SOS"
"0_Obs",29.7621875,32.204807625,7.4113576695485,18.36205653125,4.9001136875,37.513884415231,5.22546646761089,20.4556742760476,25.132475
"1_Obs",26.6565285,21.293646375,6.45114513774401,20.1477775,3.89981802587891,30.99756,4.68232731054918,19.500118,19.970119
"10_Obs",17.4561185,19.244737125,11.2274094380733,8.73405353125,5.44808500073242,21.678847,5.77757572592242,13.666356,12.9811825421405
"11_Obs",23.2026289712075,29.726576625,9.27757779567112,5.7623340625,4.73726934375,26.104108,4.01653705884561,12.388428,16.887147
"12_Obs",17.7107595,24.180690625,10.2823873725769,3.4723165,4.9764796875,20.08843,4.4923208554014,10.6201398219613,13.196022
"13_Obs",29.5422635,19.065788625,11.6524764935823,32.7286805,6.50262221875,37.012928,5.26707412880325,18.915347,25.306673
"14_Obs",18.8929095,21.643294625,10.9444984120622,13.0452600585937,5.07026473925781,24.564439,6.05361749524887,12.459636,16.680292
"15_Obs",22.7612725,20.761783125,12.640589742602,13.6178834921875,6.48098521875,26.962525,5.79585088403362,14.9401382719844,15.407807
"16_Obs",21.2711415,30.045021125,11.5507602759353,7.1001145,6.756416375,27.435121,6.03876602084094,13.3195459771162,16.881102
"17_Obs",21.3585588011189,16.451122625,11.4356660353126,23.3424005,7.2086430625,28.277752,6.54083599305022,13.9261998269411,18.762081
"18_Obs",18.2907729862652,20.596930125,11.3329447508138,4.21129453125,7.289354375,20.5436365733609,7.754446801286,12.234656,10.0382
"19_Obs",17.1184985,11.259622625,13.8536902046554,15.4205555,7.56222342602539,20.142054,7.6390626176252,12.5376730338278,11.5290893821085
"2_Obs",22.1005645,25.922292625,7.49554752730672,10.0201915,4.54982142602539,28.200404415231,4.92352712856772,16.609469244892,16.217161410844
"20_Obs",6.92659352015011,NA,12.5285897314964,9.9587445625,6.2906590625,5.74762514046072,4.85851275766491,3.5981708287805,0
"21_Obs",25.3062639862652,23.321337625,15.6360773202708,20.2176975,8.31187542602539,31.056694,6.31246340358285,14.4431909771162,22.489065
"22_Obs",22.2166375,25.007878125,15.1884903202708,13.0360365,8.013455375,26.2197214183128,5.98064217888147,10.8098022630547,18.756829
"23_Obs",12.8458565,12.155068625,17.197431,7.6774205,9.234450375,15.735821,6.33008664304438,7.11671216618752,5.82806702463041
"24_Obs",29.7650825,36.250425625,14.0391389139318,16.8970195,8.172300375,38.805746,7.01019701213659,16.445379,28.841537
"25_Obs",18.1361115,6.457462875,15.9151615963388,20.5491325,7.96478342602539,21.012668,4.15031677211221,9.877402,13.564664
"26_Obs",19.6173785,18.458456625,19.8194208601077,17.6546155,10.9390600625,24.967696,7.16498658346654,12.395586,18.31144
"27_Obs",20.5972596928708,16.594917625,12.8339397839408,19.5422525,5.4807291875,26.122392,4.63982118188376,10.621201,16.967195
"28_Obs",22.1823219712075,30.354622625,17.3620243202708,12.0479005,9.58688324426269,27.923785,6.78637739384361,12.8244821661875,19.8355785775107
"29_Obs",24.6219255,29.847258625,18.1991915963388,14.2205485,9.944278,30.545907,6.92871272675117,14.694797,22.959953
"3_Obs",23.5665785,36.019534125,4.39454422960966,NA,NA,30.264001415231,3.3315312576065,17.327212,16.115919
"4_Obs",27.8154335851089,33.032852625,7.25911247770021,14.3391805,4.49956942602539,34.958494,7.16422301244883,20.681712,24.065463
"5_Obs",18.5535925,10.274165625,3.86222127661288,18.3732695,2.8079851875,23.36274,4.19624904191978,15.1249352760476,12.2514970897013
"6_Obs",31.3433135,25.693095625,7.24865658734684,26.9648025625,3.27306881396484,38.028882,4.29232127708536,21.017793,25.429358
"7_Obs",27.5037665,16.881530625,10.1546924120376,26.7415165,5.75535278125,35.851576,7.07381247693559,21.129198,22.101428
"8_Obs",19.6623865,17.266637625,8.27673058123511,14.0238625625,5.76787040087891,25.486452415231,4.58362644429446,15.0854352760476,13.331819
"9_Obs",22.7919045,21.377176625,7.36766637983319,14.7040555,5.55453340087891,28.712944415231,7.36793183120874,17.277354,17.165502
